43949  | lkft-ltp-timers-master-324              | submitted  |               | hi6220-hikey                   
43948  | lkft-ltp-syscalls-master-324            | submitted  |               | hi6220-hikey                   
43947  | lkft-ltp-securebits-master-324          | submitted  |               | hi6220-hikey                   
43946  | lkft-ltp-sched-master-324               | submitted  |               | hi6220-hikey                   
43945  | lkft-ltp-pty-master-324                 | submitted  |               | hi6220-hikey                   
43944  | lkft-ltp-nptl-master-324                | submitted  |               | hi6220-hikey                   
43907  | lkft-ltp-timers-master-324              | submitted  |               | juno-r2                        
43906  | lkft-ltp-syscalls-master-324            | submitted  |               | juno-r2                        
43905  | lkft-ltp-securebits-master-324          | submitted  |               | juno-r2                        
43904  | lkft-ltp-sched-master-324               | submitted  |               | juno-r2                        
43903  | lkft-ltp-pty-master-324                 | submitted  |               | juno-r2                        
43902  | lkft-ltp-nptl-master-324                | submitted  |               | juno-r2                        
43901  | lkft-ltp-math-master-324                | submitted  |               | juno-r2                        
43900  | lkft-ltp-ipc-master-324                 | submitted  |               | juno-r2                        
43899  | lkft-ltp-io-master-324                  | submitted  |               | juno-r2                        
43898  | lkft-ltp-hugetlb-master-324             | submitted  |               | juno-r2                        
43897  | lkft-ltp-fsx-master-324                 | submitted  |               | juno-r2                        
43896  | lkft-ltp-fs_perms_simple-master-324     | submitted  |               | juno-r2                        
43895  | lkft-ltp-fs_bind-master-324             | submitted  |               | juno-r2                        
43894  | lkft-ltp-fs-master-324                  | submitted  |               | juno-r2                        
43893  | lkft-ltp-filecaps-master-324            | submitted  |               | juno-r2                        
43892  | lkft-ltp-fcntl-locktests-master-324     | submitted  |               | juno-r2                        
43891  | lkft-ltp-containers-master-324          | submitted  |               | juno-r2                        
43890  | lkft-ltp-commands-master-324            | submitted  |               | juno-r2                        
43889  | lkft-ltp-cap_bounds-master-324          | submitted  |               | juno-r2                        
43888  | lkft-libhugetlbfs-master-324            | submitted  |               | juno-r2                        
43887  | lkft-kselftest-master-324               | submitted  |               | juno-r2                        
43886  | lkft-ltp-timers-master-324              | submitted  |               | x86                            
43885  | lkft-ltp-syscalls-master-324            | submitted  |               | x86                            
43884  | lkft-ltp-securebits-master-324          | submitted  |               | x86                            
43883  | lkft-ltp-sched-master-324               | submitted  |               | x86                            
43882  | lkft-ltp-pty-master-324                 | submitted  |               | x86                            
43881  | lkft-ltp-nptl-master-324                | submitted  |               | x86                            
43880  | lkft-ltp-math-master-324                | submitted  |               | x86                            
43879  | lkft-ltp-ipc-master-324                 | submitted  |               | x86                            
43878  | lkft-ltp-io-master-324                  | submitted  |               | x86                            
43877  | lkft-ltp-hugetlb-master-324             | submitted  |               | x86                            
43876  | lkft-ltp-fsx-master-324                 | submitted  |               | x86                            
43875  | lkft-ltp-fs_perms_simple-master-324     | submitted  |               | x86                            
43874  | lkft-ltp-fs_bind-master-324             | submitted  |               | x86                            
43873  | lkft-ltp-fs-master-324                  | submitted  |               | x86                            
43872  | lkft-ltp-filecaps-master-324            | submitted  |               | x86                            
43871  | lkft-ltp-fcntl-locktests-master-324     | submitted  |               | x86                            
43870  | lkft-ltp-containers-master-324          | submitted  |               | x86                            
43869  | lkft-ltp-commands-master-324            | submitted  |               | x86                            
43868  | lkft-ltp-cap_bounds-master-324          | submitted  |               | x86                            
43867  | lkft-libhugetlbfs-master-324            | submitted  |               | x86                            
43866  | lkft-kselftest-master-324               | submitted  |               | x86                            
43844  | lkft-ltp-timers-master-323              | submitted  |               | x86                            
43843  | lkft-ltp-syscalls-master-323            | submitted  |               | x86                            
43842  | lkft-ltp-securebits-master-323          | submitted  |               | x86                            
43841  | lkft-ltp-sched-master-323               | submitted  |               | x86                            
43840  | lkft-ltp-pty-master-323                 | submitted  |               | x86                            
43839  | lkft-ltp-nptl-master-323                | submitted  |               | x86                            
43838  | lkft-ltp-math-master-323                | submitted  |               | x86                            
43837  | lkft-ltp-ipc-master-323                 | submitted  |               | x86                            
43836  | lkft-ltp-io-master-323                  | submitted  |               | x86                            
43835  | lkft-ltp-hugetlb-master-323             | submitted  |               | x86                            
43834  | lkft-ltp-fsx-master-323                 | submitted  |               | x86                            
43833  | lkft-ltp-fs_perms_simple-master-323     | submitted  |               | x86                            
43832  | lkft-ltp-fs_bind-master-323             | submitted  |               | x86                            
